ORTG Rank,Team,ORTG,Morey,Pace,Ball Move,Player Move,Morey Rank,Pace Rank,Ball Rank,Player Rank
1,Houston Rockets,114.1,0.5827402135,98.02,3.34,8.49,1,14,2,30
2,Toronto Raptors,113,0.4717994628,98.02,2.99,9.5,2,13,14,8
3,Golden State Warriors,112.8,0.4449339207,100.35,2.63,8.96,3,5,29,24
4,Minnesota Timberwolves,112.5,0.396347032,96.75,3.22,8.91,12,22,3,26
5,Cleveland Cavaliers,112,0.4878268711,98.72,3.13,8.83,6,9,5,27
6,Denver Nuggets,111.4,0.4690909091,97.69,2.94,9.15,14,15,18,19
7,Oklahoma City Thunder,110.1,0.4578313253,97.34,3.22,8.64,8,18,4,29
8,LA Clippers,109.4,0.4357798165,99.54,2.92,8.94,18,7,23,25
9,Charlotte Hornets,109,0.4639556377,98.66,3.11,9.47,20,10,6,9
10,Milwaukee Bucks,109,0.4197183099,97.03,2.99,8.69,15,20,13,28
11,Indiana Pacers,108.5,0.396780303,96.84,3,9.14,8,21,12,20
12,New Orleans Pelicans,108.5,0.418084154,101.48,2.77,8.98,8,1,28,23
13,Philadelphia 76ers,108.5,0.456284153,100.75,2.59,9.52,5,4,30,6
14,Portland Trail Blazers,108.4,0.4507575758,97.11,3.4,9.45,7,19,1,12
15,Washington Wizards,108.1,0.4362101313,97.67,3.07,9.05,17,16,9,22
16,Utah Jazz,107.4,0.4726224784,96.58,2.94,9.47,8,25,21,11
17,San Antonio Spurs,107.1,0.4050632911,95.7,2.97,9.78,12,28,16,1
18,Boston Celtics,106.8,0.4855769231,96.75,3.01,9.13,4,23,11,21
19,Detroit Pistons,106.6,0.4537572254,96.75,2.98,9.55,19,24,15,5
20,New York Knicks,106.3,0.3779904306,97.64,2.87,9.37,22,17,24,14
21,Miami Heat,106.2,0.4613152805,96.1,3.09,9.51,15,27,8,7
22,Brooklyn Nets,106.1,0.5206378987,99.66,2.86,9.58,23,6,25,2
23,Los Angeles Lakers,106,0.4310823312,100.9,2.94,9.17,21,3,19,17
24,Dallas Mavericks,105.4,0.4848484848,96.53,3.11,9.47,27,26,7,10
25,Orlando Magic,104.7,0.4487427466,98.58,3.02,9.22,26,12,10,16
26,Atlanta Hawks,104.4,0.4777562863,98.76,2.79,9.56,27,8,27,4
27,Memphis Grizzlies,103.6,0.4451158107,95.65,2.93,9.16,29,29,22,18
28,Chicago Bulls,103.4,0.462585034,98.65,2.81,9.57,24,11,26,3
29,Sacramento Kings,103.1,0.3977732794,95.5,2.94,9.35,24,30,20,15
30,Phoenix Suns,102.8,0.4388835419,101.14,2.96,9.42,30,2,17,13
