ORTG Rank,Team,ORTG,Morey,Pace,Ball Move,Player Move,Morey Rank,Pace Rank,Ball Rank,Player Rank
1,Dallas Mavericks,115.8,0.5481099656,99.78,3.14,9.75,2,17,9,14
2,Houston Rockets,113.4,0.5647756139,103.62,3.24,8.73,1,4,3,30
3,LA Clippers,112.9,0.4939759036,102.39,3.12,9.62,11,8,12,22
4,Los Angeles Lakers,112.6,0.4453193351,101.11,2.99,9.15,26,12,23,29
5,Boston Celtics,112.3,0.4911504425,99.78,3.08,9.51,12,18,15,26
6,Milwaukee Bucks,112.3,0.4966273187,105.36,2.94,9.65,10,1,25,20
7,Miami Heat,112.2,0.5320855615,98.46,3.19,9.88,3,27,6,6
8,Utah Jazz,112.1,0.5153153153,98.95,3.1,9.72,6,25,14,15
9,Denver Nuggets,112,0.4402173913,97.66,3.02,9.59,27,29,19,23
10,Portland Trail Blazers,112,0.4850352113,101.15,3.55,9.54,18,11,1,25
11,San Antonio Spurs,111.3,0.4461130742,100.6,3.13,10.13,25,15,11,1
12,Toronto Raptors,111.3,0.5265486726,100.87,2.98,9.33,4,14,24,28
13,Washington Wizards,111.1,0.4878892734,103.52,2.84,9.88,15,5,28,5
14,Oklahoma City Thunder,111,0.4602888087,99.21,3.12,9.34,23,20,13,27
15,New Orleans Pelicans,110.6,0.5068846816,103.96,2.68,10.1,9,2,30,2
16,Phoenix Suns,110.2,0.4742451155,101.76,3.01,9.92,19,9,20,3
17,Indiana Pacers,109.7,0.4126258005,99.05,3.03,9.7,30,24,18,17
18,Philadelphia 76ers,109.7,0.4635036496,99.38,3.05,9.66,22,19,16,19
19,Sacramento Kings,109,0.4899082569,99.08,3.16,9.76,14,23,8,13
20,Memphis Grizzlies,108.9,0.4342806394,103.26,2.87,9.77,28,7,27,12
21,Detroit Pistons,108.8,0.4906716418,97.86,3.19,9.8,13,28,5,11
22,Brooklyn Nets,107.8,0.511732852,101.51,3.13,9.69,7,10,10,18
23,Minnesota Timberwolves,107.6,0.5207413945,103.94,2.88,9.63,5,3,26,21
24,Orlando Magic,107.5,0.4671052632,98.7,3.26,9.85,21,26,2,9
25,Atlanta Hawks,107,0.4874776386,103.28,3.19,9.87,17,6,4,7
26,Cleveland Cavaliers,106.9,0.4555659495,99.17,3.18,9.72,24,21,7,16
28,Charlotte Hornets,105.9,0.5102040816,96.24,3,9.82,8,30,21,10
27,New York Knicks,105.9,0.4262759924,99.11,3,9.56,29,22,22,24
29,Chicago Bulls,105.8,0.4878277154,100.46,3.03,9.86,16,16,16,8
30,Golden State Warriors,104.4,0.4694261524,101.04,2.71,9.89,20,13,29,4
