ORTG Rank,Team,ORTG,Morey,Pace,Ball Move,Player Move,Morey Rank,Pace Rank,Ball Rank,Player Rank
1,Golden State Warriors,115,0.4774851317,101.73,2.62,9.43,9,10,30,28
2,Houston Rockets,114.9,0.5935030729,98.39,3.48,9.08,1,27,1,30
3,Portland Trail Blazers,113.7,0.4533565824,99.96,3.28,10.09,20,18,3,4
4,Milwaukee Bucks,113.5,0.4944961897,103.57,2.97,9.74,5,5,15,22
5,Toronto Raptors,112.6,0.4798951049,100.52,2.95,9.87,9,15,18,17
6,San Antonio Spurs,112.2,0.4198746643,98.89,3.17,10.19,28,22,4,2
7,Denver Nuggets,112.1,0.440831075,98.49,2.91,9.76,22,26,23,20
8,Philadelphia 76ers,111.6,0.4652777778,102.59,2.8,10.15,11,8,28,3
9,LA Clippers,111.4,0.4569939183,102.66,2.95,9.93,17,7,16,13
10,Boston Celtics,111.3,0.475088968,100.43,2.87,9.49,10,16,26,26
11,Charlotte Hornets,110.7,0.4887082204,99.18,3.09,10.04,8,21,8,7
12,New Orleans Pelicans,110.7,0.4220103986,103.89,2.76,9.76,27,2,29,21
13,Minnesota Timberwolves,110.6,0.4391111111,100.88,3.07,9.61,22,13,10,24
14,Utah Jazz,110.3,0.4932855864,100.84,2.88,10.04,7,14,25,8
15,Washington Wizards,110.2,0.4587719298,102.24,2.94,9.49,14,9,20,27
16,Oklahoma City Thunder,109.8,0.4541484716,103.38,3.13,9.31,17,6,7,29
17,Sacramento Kings,109.6,0.4413309982,103.88,2.86,9.93,22,3,27,14
18,Indiana Pacers,109.4,0.4101851852,98.64,2.93,9.65,30,25,21,23
19,Brooklyn Nets,108.9,0.5115864528,101.51,2.94,10.29,3,11,19,1
20,Dallas Mavericks,108.7,0.5169880624,99.6,2.95,9.94,2,19,16,12
21,Detroit Pistons,108.4,0.5009345794,97.88,3.07,10.01,4,28,9,9
22,Orlando Magic,108.2,0.458527493,98.65,3.16,10.01,16,24,5,10
23,Atlanta Hawks,107.5,0.4995586937,104.56,2.88,10.06,5,1,24,6
24,Los Angeles Lakers,107.4,0.4221824687,103.6,3.01,9.59,26,4,13,25
25,Cleveland Cavaliers,106.8,0.4526315789,97.38,3.28,9.77,21,29,2,19
26,Miami Heat,106.7,0.4635761589,98.74,3.02,9.92,11,23,12,15
27,Memphis Grizzlies,105.6,0.4579710145,97.15,2.93,9.99,17,30,22,11
28,Phoenix Suns,105.3,0.431627907,101.15,2.98,9.82,25,12,14,18
29,Chicago Bulls,104.5,0.4146806482,99.3,3.14,10.07,28,20,6,5
30,New York Knicks,104,0.4598470363,100.16,3.05,9.89,14,17,11,16
