ORTG Rank,Team,ORTG,Morey,Pace,Ball Move,Player Move,Morey Rank,Pace Rank,Ball Rank,Player Rank
1,Los Angeles Clippers,111.6,0.4517338332,95.4,2.98,8.54,4,11,21,30
2,Golden State Warriors,110.4,0.44,99.28,2.67,8.9,7,1,30,18
3,Toronto Raptors,110.2,0.4423076923,93.46,3.31,8.84,6,23,3,23
4,Cleveland Cavaliers,110.1,0.4655674103,93.23,3.14,8.82,2,25,10,24
6,Atlanta Hawks,108.2,0.4536585366,94.66,2.77,8.9,3,15,26,17
5,Dallas Mavericks,108.2,0.4144486692,96.4,2.86,8.79,11,8,23,26
7,San Antonio Spurs,107.6,0.4031007752,94.45,2.77,9.74,14,17,27,1
9,New Orleans Pelicans,107.1,0.3792756539,92.29,3.41,9.13,21,27,1,9
8,Portland Trail Blazers,107.1,0.436770428,95.06,3.16,9.29,7,12,9,6
10,Oklahoma City Thunder,106.7,0.4009615385,96.61,3.14,8.9,17,6,11,19
11,Chicago Bulls,106.3,0.4305555556,93.8,3.02,9.22,7,19,17,8
12,Houston Rockets,106,0.5081809432,97.36,2.91,8.8,1,2,22,25
13,Memphis Grizzlies,104.8,0.3377416073,92.82,3.03,9.05,30,26,16,10
14,Sacramento Kings,104.5,0.385982231,96.16,3.18,9.04,20,9,7,11
15,Detroit Pistons,104.3,0.4223350254,93.68,3.25,9.28,7,21,5,7
17,Phoenix Suns,104.2,0.4091796875,97.2,2.99,8.63,14,3,20,29
16,Utah Jazz,104.2,0.4121976866,91.1,2.68,9.37,12,30,29,4
18,Denver Nuggets,103.9,0.4118226601,96.87,3.19,8.74,12,4,6,28
19,Boston Celtics,103.8,0.3885601578,96.71,2.84,8.84,19,5,24,22
20,Brooklyn Nets,103.4,0.3714285714,93.69,3.26,8.89,25,20,4,20
21,Miami Heat,103.2,0.4002111932,91.49,3.1,8.94,17,29,13,14
22,Washington Wizards,103,0.3472081218,94.29,3,8.94,29,18,19,15
23,Indiana Pacers,102.9,0.4028776978,93.67,3.06,8.97,14,22,14,13
24,Los Angeles Lakers,102.3,0.3756345178,95.03,3.39,9.01,21,13,2,12
25,Milwaukee Bucks,102,0.3660531697,94.82,3,8.75,26,14,18,27
26,Minnesota Timberwolves,101.8,0.3578732106,95.45,3.17,8.93,28,10,8,16
27,Orlando Magic,101,0.3584117032,94.51,3.11,8.87,27,16,12,21
28,Charlotte Hornets,99.6,0.3747346072,93.45,3.05,9.41,24,24,15,2
29,New York Knicks,98.9,0.3830250272,92.06,2.69,9.4,21,28,28,3
30,Philadelphia 76ers,94.9,0.4489130435,96.45,2.78,9.34,5,7,25,5
