ORTG Rank,Team,ORTG,Morey,Pace,Ball Move,Player Move,Morey Rank,Pace Rank,Ball Rank,Player Rank
1,Golden State Warriors,113.5,0.4873803307,100.24,2.6,9.03,3,2,30,17
2,Oklahoma City Thunder,112.1,0.4047186933,97.54,3.25,8.92,20,10,3,23
3,Cleveland Cavaliers,110.2,0.4640460211,93.82,3.13,8.91,5,28,8,24
4,San Antonio Spurs,109.3,0.361352657,94.54,2.88,9.52,27,24,22,5
5,Toronto Raptors,109.3,0.4537487829,93.35,3.16,9.28,7,29,6,7
6,Portland Trail Blazers,107.6,0.4652711703,97.06,3.24,9.48,4,12,4,6
7,Houston Rockets,107.3,0.4929577465,98.42,2.93,8.61,1,7,19,30
8,LA Clippers,107.2,0.4526315789,96.81,3.11,8.65,7,13,9,29
9,Charlotte Hornets,106.4,0.4883945841,96.24,3.04,9.53,2,18,14,2
10,Boston Celtics,105.8,0.421948912,99.43,2.69,8.72,14,3,29,28
11,Dallas Mavericks,105.5,0.4604105572,95.34,2.9,9.22,6,22,21,8
12,Miami Heat,105.5,0.354,94.14,3.14,9.17,29,25,7,12
13,Minnesota Timberwolves,105.4,0.3701171875,96.2,3.16,8.86,26,19,5,26
15,Detroit Pistons,105.3,0.4323529412,95.75,3.28,9.08,14,21,1,16
14,Sacramento Kings,105.3,0.3986866792,100.66,3,8.95,21,1,15,21
16,Utah Jazz,105,0.4360286592,91.66,2.85,9.64,12,30,25,1
17,Denver Nuggets,104.9,0.4170755643,96.34,3.1,9.09,17,17,10,15
18,New Orleans Pelicans,104.8,0.4196689387,97.64,2.97,9.19,14,8,17,11
19,Memphis Grizzlies,104.7,0.3794147326,93.95,3.07,8.92,24,27,12,22
20,Atlanta Hawks,104.6,0.4406614786,97.63,2.72,8.97,11,9,28,18
21,Washington Wizards,104.5,0.4063400576,99.16,2.87,8.88,19,5,23,25
22,Orlando Magic,104.4,0.3780607248,96.68,2.94,9.52,25,14,18,3
23,Chicago Bulls,104.1,0.3956692913,96.6,2.91,9.2,21,15,20,10
24,New York Knicks,103.9,0.4004065041,94.12,2.75,9.22,21,26,27,9
25,Indiana Pacers,103.8,0.4080234834,97.35,2.98,8.95,17,11,16,20
26,Milwaukee Bucks,103.4,0.3353535354,95.05,3.05,8.82,30,23,13,27
27,Brooklyn Nets,102.4,0.3569979716,96.12,3.07,9.14,28,20,11,13
28,Phoenix Suns,101.5,0.4410307235,99.39,2.83,8.97,7,4,26,19
29,Los Angeles Lakers,100.7,0.4388489209,96.55,3.27,9.13,12,16,2,14
30,Philadelphia 76ers,98.4,0.4476386037,98.44,2.85,9.52,7,6,24,4
