ORTG Rank,Team,ORTG,Morey,Pace,Ball Move,Player Move,Morey Rank,Pace Rank,Ball Rank,Player Rank
1,Golden State Warriors,114.8,0.4641932701,100.37,2.64,8.91,5,4,29,23
2,Houston Rockets,114.1,0.5507372073,100.55,3.03,8.54,1,3,14,30
3,Cleveland Cavaliers,112.8,0.5122393472,96.74,3.19,8.68,2,16,6,29
4,Denver Nuggets,112.2,0.4521038496,99.18,2.97,9.14,13,6,18,13
5,LA Clippers,111.8,0.4618215271,96.77,3.04,8.7,10,15,13,27
6,Toronto Raptors,111.4,0.4312441534,95.41,3.26,9.08,15,25,2,15
7,Boston Celtics,110.6,0.5064814815,97.21,2.78,8.91,3,13,26,22
8,Washington Wizards,110.4,0.4111721612,97.94,3.21,8.69,24,10,5,28
9,San Antonio Spurs,110.3,0.4292497626,94.86,2.92,9.56,19,27,22,3
10,Minnesota Timberwolves,110,0.3901515152,95.48,3.19,9.06,29,23,7,16
11,Portland Trail Blazers,109.4,0.4606116775,97.38,3.3,9.5,11,12,1,4
12,Utah Jazz,109,0.4558093347,92.09,3.03,9.3,11,30,15,6
13,Milwaukee Bucks,108.5,0.4208494208,94.99,3.02,8.74,20,26,16,26
14,Charlotte Hornets,108.4,0.4709246902,95.92,3.04,9.59,5,20,12,2
16,Indiana Pacers,107.9,0.4157944814,96.59,3.11,8.85,23,18,11,25
15,Oklahoma City Thunder,107.9,0.4165103189,98.18,3.19,8.87,22,9,8,24
17,Miami Heat,107.4,0.4350775194,95.51,3.21,9.4,15,22,4,5
18,New York Knicks,107.1,0.4065196548,96.63,2.78,9.25,26,17,27,10
19,Memphis Grizzlies,107,0.4626865672,92.84,3.13,9,5,29,9,18
20,Sacramento Kings,106.6,0.4387159533,95.42,2.95,9.14,13,24,21,14
21,Chicago Bulls,106.5,0.3965014577,96.02,2.95,9.18,28,19,20,12
22,Phoenix Suns,106.1,0.3983286908,100.85,2.84,9,27,2,25,19
23,Detroit Pistons,105.3,0.3652517275,95.52,3.11,9.25,30,21,10,9
24,Los Angeles Lakers,105.3,0.4177820268,99.26,3.01,9.26,21,5,17,8
25,Dallas Mavericks,104.7,0.4790602656,93.11,3.24,9.21,5,28,3,11
26,New Orleans Pelicans,104.7,0.4304889741,98.56,2.86,8.98,18,8,23,20
27,Atlanta Hawks,104.5,0.4341085271,97.76,2.85,9.03,15,11,24,17
28,Orlando Magic,103.7,0.4104846686,96.9,2.96,8.97,24,14,19,21
29,Brooklyn Nets,103.6,0.4867674858,101.75,2.76,9.28,4,1,28,7
30,Philadelphia 76ers,102.7,0.4619140625,99.07,2.64,9.89,9,7,30,1
